Date : 2025-02-12 01:17:48
Directory : /home/lukachikvaidze/projects/sheuketee
Total : 267 files,  30788 codes, 4682 comments, 1332 blanks, all 36802 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/lukachikvaidze/projects/sheuketee/src/routes/resetpassword/index.jsx                                                                                                                                                               | JavaScript JSX     |        142 |          1 |         12 |        155 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/search/(Search).jsx                                                                                                                                                                   | JavaScript JSX     |          0 |         77 |          5 |         82 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/service/[id]/index.jsx                                                                                                                                                                | JavaScript JSX     |        389 |         13 |         20 |        422 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step.jsx                                                                                                                                                               | JavaScript JSX     |          0 |        100 |          8 |        108 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/about.jsx                                                                                                                                                         | JavaScript JSX     |          0 |         63 |          6 |         69 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/age.jsx                                                                                                                                                           | JavaScript JSX     |          0 |        186 |         17 |        203 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/contact.jsx                                                                                                                                                       | JavaScript JSX     |          0 |         77 |          6 |         83 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/gender.jsx                                                                                                                                                        | JavaScript JSX     |          0 |         57 |          6 |         63 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/location.jsx                                                                                                                                                      | JavaScript JSX     |          0 |        359 |         36 |        395 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/step/photo.jsx                                                                                                                                                         | JavaScript JSX     |          0 |        158 |         16 |        174 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/damkveti/steps.json                                                                                                                                                             | JSON               |         32 |          0 |          1 |         33 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step.jsx                                                                                                                                                               | JavaScript JSX     |         99 |          0 |          8 |        107 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/about.jsx                                                                                                                                                         | JavaScript JSX     |         63 |          0 |          6 |         69 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/age.jsx                                                                                                                                                           | JavaScript JSX     |        187 |          0 |         17 |        204 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/contact.jsx                                                                                                                                                       | JavaScript JSX     |         82 |          0 |          6 |         88 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/gender.jsx                                                                                                                                                        | JavaScript JSX     |         57 |          0 |          6 |         63 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/location.jsx                                                                                                                                                      | JavaScript JSX     |         78 |          0 |          6 |         84 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/photo.jsx                                                                                                                                                         | JavaScript JSX     |        164 |          0 |         12 |        176 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/schedule.jsx                                                                                                                                                      | JavaScript JSX     |         66 |          0 |          5 |         71 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/step/skills.jsx                                                                                                                                                        | JavaScript JSX     |        277 |          0 |         13 |        290 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/setup/xelosani/steps.json                                                                                                                                                             | JSON               |         42 |          0 |          1 |         43 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/talent/(Talent).jsx                                                                                                                                                                   | JavaScript JSX     |          8 |          0 |          2 |         10 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/(Work).jsx                                                                                                                                                                       | JavaScript JSX     |         27 |          0 |          4 |         31 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/Jobs.jsx                                                                                                                                                              | JavaScript JSX     |        151 |          2 |          3 |        156 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/Map.jsx                                                                                                                                                               | JavaScript JSX     |          7 |          0 |          0 |          7 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/Paginate.jsx                                                                                                                                                          | JavaScript JSX     |         24 |          0 |          2 |         26 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/SearchWork.jsx                                                                                                                                                        | JavaScript JSX     |         11 |          0 |          1 |         12 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/filter-comps/JobType.jsx                                                                                                                                              | JavaScript JSX     |         49 |          0 |          1 |         50 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/filter-comps/Location.jsx                                                                                                                                             | JavaScript JSX     |         87 |          0 |          3 |         90 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/filter-comps/Pay.jsx                                                                                                                                                  | JavaScript JSX     |         11 |          0 |          0 |         11 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/filter-comps/Sort.jsx                                                                                                                                                 | JavaScript JSX     |         10 |          0 |          0 |         10 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/work/components/scrollbar.css                                                                                                                                                         | CSS                |         15 |          0 |          3 |         18 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/[id]/(Xelosani).jsx                                                                                                                                                          | JavaScript JSX     |        220 |          0 |          7 |        227 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/[id]/ProfileLeft.jsx                                                                                                                                                         | JavaScript JSX     |        576 |          0 |         21 |        597 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/[id]/ProfileRight.jsx                                                                                                                                                        | JavaScript JSX     |        109 |          0 |          6 |        115 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/[id]/Services.jsx                                                                                                                                                            | JavaScript JSX     |        114 |          0 |          6 |        120 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/[id]/SkillCarousel.jsx                                                                                                                                                       | JavaScript JSX     |         52 |         29 |          3 |         84 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifyAbout.jsx                                                                                                                                                       | JavaScript JSX     |         53 |          0 |          3 |         56 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifyAge.jsx                                                                                                                                                         | JavaScript JSX     |        239 |          0 |         15 |        254 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifyLocationModal.js                                                                                                                                                | JavaScript         |          0 |        348 |         34 |        382 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifyServiceFront.jsx                                                                                                                                                | JavaScript JSX     |        653 |          1 |         26 |        680 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifySkills.jsx                                                                                                                                                      | JavaScript JSX     |        330 |          0 |         10 |        340 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/modals/ModifyWorkSchedule.jsx                                                                                                                                                | JavaScript JSX     |         76 |          0 |          1 |         77 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/services/(Services).jsx                                                                                                                                                      | JavaScript JSX     |        988 |         13 |         42 |      1,043 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/services/ImagePreview.jsx                                                                                                                                                    | JavaScript JSX     |         61 |          0 |          4 |         65 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/services/ServiceSchedule.jsx                                                                                                                                                 | JavaScript JSX     |         99 |          0 |          2 |        101 |
| /home/lukachikvaidze/projects/sheuketee/src/routes/xelosani/services/ServicesModal.jsx                                                                                                                                                   | JavaScript JSX     |         95 |          0 |          2 |         97 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/Arrow Right.svg                                                                                                                                                                   | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/ChevronLeftBlack.svg                                                                                                                                                              | XML                |          7 |          0 |          1 |          8 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/ChevronRightBlack.svg                                                                                                                                                             | XML                |          6 |          0 |          0 |          6 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/Microsoft worked with Upwork to collaborate on an integrated solution that helps enterprises work with freelancers at scale powered by Microsoft 365 and Upwork Enterprise.-1.svg | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/accessibility-availability-custom-svgrepo-com.svg                                                                                                                                 | XML                |          8 |          0 |          7 |         15 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/airplane.svg                                                                                                                                                                      | XML                |         21 |          0 |          0 |         21 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/arrow-left.svg                                                                                                                                                                    | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/bell.svg                                                                                                                                                                          | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/box-arrow-right.svg                                                                                                                                                               | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/cake.svg                                                                                                                                                                          | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/camera.svg                                                                                                                                                                        | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/check-gray.svg                                                                                                                                                                    | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/check.svg                                                                                                                                                                         | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/checkedGreen.svg                                                                                                                                                                  | XML                |         10 |          0 |          0 |         10 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/chevron-left.svg                                                                                                                                                                  | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/chevron-right.svg                                                                                                                                                                 | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/double-arrow-left-icon.svg                                                                                                                                                        | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/double-arrow-right-icon.svg                                                                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/edit_icon.svg                                                                                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/envelope.svg                                                                                                                                                                      | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/exclamation.svg                                                                                                                                                                   | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/exclamationWhite.svg                                                                                                                                                              | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/external_link.svg                                                                                                                                                                 | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/eye-fill.svg                                                                                                                                                                      | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/eye-slash.svg                                                                                                                                                                     | XML                |          5 |          0 |          0 |          5 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/facebook.svg                                                                                                                                                                      | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/filter-svg.svg                                                                                                                                                                    | XML                |         13 |          0 |          0 |         13 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/findWorker.svg                                                                                                                                                                    | XML                |         32 |          0 |          0 |         32 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/form.svg                                                                                                                                                                          | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/gear.svg                                                                                                                                                                          | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/hero_svg.svg                                                                                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/hirer.svg                                                                                                                                                                         | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/hiring.svg                                                                                                                                                                        | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/images.svg                                                                                                                                                                        | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/interview.svg                                                                                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/job.svg                                                                                                                                                                           | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/jobComplete.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/job_application.svg                                                                                                                                                               | XML                |          8 |          0 |          0 |          8 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/job_done.svg                                                                                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/job_hunt.svg                                                                                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/location.svg                                                                                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/locationWhite.svg                                                                                                                                                                 | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/long-arrow-left.svg                                                                                                                                                               | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/man.svg                                                                                                                                                                           | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/map.svg                                                                                                                                                                           | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/new_post.svg                                                                                                                                                                      | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/payment.svg                                                                                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/pen.svg                                                                                                                                                                           | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/person.svg                                                                                                                                                                        | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/pitch-hirer.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/plus.svg                                                                                                                                                                          | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/plusBlack.svg                                                                                                                                                                     | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/price-tag.svg                                                                                                                                                                     | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/redlocation.svg                                                                                                                                                                   | XML                |         11 |          1 |          1 |         13 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/shield.svg                                                                                                                                                                        | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/spinner.svg                                                                                                                                                                       | XML                |         12 |          0 |          0 |         12 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-1.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-10.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-11.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-12.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-13.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-14.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-16.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-17.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-18.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-19.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-2.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-20.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-21.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-22.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-23.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-24.svg                                                                                                                                                                  | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-25.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-26.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-27.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-28.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-29.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-3.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-30.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-31.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-32.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-33.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-34.svg                                                                                                                                                                  | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-5.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-6.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-7.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-8.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/svgexport-9.svg                                                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/telephone.svg                                                                                                                                                                     | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/three-dots.svg                                                                                                                                                                    | XML                |          3 |          0 |          0 |          3 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/thumbnails-svgrepo-com.svg                                                                                                                                                        | XML                |         20 |          0 |          0 |         20 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/trash.svg                                                                                                                                                                         | XML                |          4 |          0 |          0 |          4 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/uploadIcon.svg                                                                                                                                                                    | XML                |         17 |          0 |          0 |         17 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/vsuc_Skills_11.svg                                                                                                                                                                | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/welcome.svg                                                                                                                                                                       | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/woman.svg                                                                                                                                                                         | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/src/svg-images/worker.svg                                                                                                                                                                        | XML                |          1 |          0 |          0 |          1 |
| /home/lukachikvaidze/projects/sheuketee/tailwind.config.js                                                                                                                                                                               | JavaScript         |         26 |          1 |          0 |         27 |
| Total                                                                                                                                                                                                                                    |                    |     30,788 |      4,682 |      1,332 |     36,802 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
